"","Flavor"
"4712","""Destiny, chance, fate, fortune—they're all just ways of claiming your successes without claiming your failures."" —Gerrard of the Weatherlight"
"4713","Gerrard hesitated, looking up at the enemy ship. The future hesitated with him, changed forever by the pause."
"4714","""Their origins are shrouded in mystery. I believe they are the protectors of the lost secrets of our world."" —Jilaya, Temur whisperer"
"4715","When killing five just isn't enough."
"4716","Drawn by power, fueled by conquest."
"4717","""Use everything. Iron, rust, scrap . . . even the ground must join our cause."" —Ezuri, renegade leader"
"4718","The deep sleep of winter is not always restful."
"4719","Mogglings have been known to play ball with hibernating slivers, completely unaware of their true nature."
"4720","The only alert the invaders had was the rustling of leaves on a day without wind."
"4721","When these apes want something, it's a matter of gibbon take."
"4722","In the cellars beneath Narnam House, a strange and deadly garden grows."
"4723","If the presence of evil were obvious, it wouldn't be nearly as dangerous."
"4724","""Where moments before we were lost beyond hope, the strange, floating lights showed us the way and restored our morale."" —Vervamon the Elder"
"4725","After an hour in the hidey-hole, Squee seriously pondered the advantages of danger over boredom."
"4726","It wants only to dress you in silk."
"4727","""A little dark magic won't stop me. The worse the curse, the better the prize."" —Radavi, Joraga relic hunter, last words"
"4728","""Seeing you cower before me is its own reward."""
"4729","Hidetsugu never relinquished a grudge. He let it burn within him, gathering ever greater intensity until the final moment of vengeance."
"4730","""The answers are here. This is the way through the trial."""
"4731","In the Rite of Redemption, nobles take the same vows as Elenda, the first vampire, and make the same eternal sacrifice."
"4732","""All the dead sleep lightly here, no matter how refined their beds may be."" —Grafdigger Wulmer"
"4733","In war, as in society, position is everything."
"4734","He gets paid by the axe."
"4735","""Bring down a stag and fix its horns upon her head. This one hears the whispers."" —Chianul, at the weaving of Arel"
"4736","Though slow-witted and slow-moving, they are quick to anger."
"4737","""A place like this makes me wonder if there's more to life than blood and treasure . . . Nah."" —Boyl Bucksalt, Storm Fleet swab"
"4738","""Our noble land, enslaved by Rime, Is it our fate to freeze through time? If this be true, oh wicked crime."" —The Dynasty of Winter Kings"
"4739","If it can't be had here, it can't be had on any world."
"4740","""All I require is faith, loyalty, obedience, trust, and complete and utter devotion."""
"4741","Bend as the wave breaks or it will break you as well. —Saprazzan saying"
"4742","""If nothing else, the Inventors' Fair taught us that we're only beginning to discover aether's true potential."" —Kershan Danil, Highspire artisan"
"4743","Its wings produce a high-pitched, barely audible whirring sound in flight. Only Jeskai masters are quiet enough to hear one coming."
"4744","""There's nothing like the high seas to clear your head or escape pursuers."""
"4745","""Tonight, madam, it's your money and your life."""
"4746","Trapped on Ixalan, the Planeswalker Angrath is the only minotaur sailing the seas. No matter how many ships he captures, he cannot break free."
"4747","The giants believe the fossils they find in Lorwyn's rocky heights are dreams frozen in time, and they treasure them."
"4748","Fortunately, hill giants have large blind spots in which a human can easily hide. Unfortunately, these blind spots are beneath the bottoms of their feet."
"4749","""Do not react to force in kind. Turn it aside. Direct it to where it can do no harm."" —Meloku the Clouded Mirror"
"4750","Centuries of careful practice have elevated the casting of protective spells to an art form. What little offensive magic remains on Bant stands little chance of breaching them."
"4751","""Woodlands and laws. Both grow faster than the Azorius's ability to manage them."" —Suniel the Woodwise"
"4752","""As a kid, I dreamed of flying on those wild drakes. They inspired me to build wings of my own."" —Nadja Cloudtoucher, aerowright"
"4753","""Our ancestors brought down a Phyrexian portal ship, then built our town on its hull. We're pretty proud of that."" —Alene of Riverspan"
"4754","He tried to live far from those he could hurt . . ."
"4755",". . . but the monster within was a tireless hunter."
"4756","""There's a forester lives up in the highlands. Tried to sell her one of my finest axes at a bargain, but she wasn't interested."" —Old Rutstein"
"4757","""She even had the audacity to criticize my wares as inferior."" —Old Rutstein"
"4758","""Practice makes perfect, but obsession makes better."""
"4759","""Someone once said that hipparions are to warriors what aesthir are to skyknights. Don't believe it."" —General Jarkeld, the Arctic Fox"
"4760","""Follow your passion, I always say. Might as well get paid to do what you love."""
"4761","""By all rights we should have perished in the Kami War. Our perseverence is a tribute to mortal ingenuity. And perhaps a few forgotten secrets found in the nick of time."""
"4762","""With every passing day, the kami shape our world to suit their will. I, for one, would not see them succeed."""
"4763","Viashino thrashes keep iguanars as hunting companions, giving them wounded captives as playthings."
"4764","All that remains when the fog finishes are neat piles of polished bones, like acid-etched glass. Orzhov servants collect them to make altar chimes."
"4765","Not all spiders need webs to catch their prey."
"4766","""All consciousness is one, separated only by a thin veil of the physical."" —Jace Beleren"
"4767","Sliver young are sorted into clutches according to their potential and their future role. Human scholars can only guess how those are determined."
"4768","Rath's evincars used hivestones to control the slivers, but the overlay put their power into unwitting hands. Now the stones make not masters, but slaves."
"4769","He collects the precious metals, and then converts the rest to propellant."
"4770","""The creature we fought in the western waste was doubly dangerous: mortally wounded, it rebounded and attacked again."" —Disa the Restless, journal entry"
"4771","The faeries snickered at first. A common hob in Oona's skies? But his lance ended their mockery, and now the sound of a cicada's wings brings a shudder to the faerie heart."
"4772","Zarv no longer trusted the kitten posters telling him to ""hang in there."""
"4773","It was Daeron's bravery that brought him to Odunos. But it was the magic of Meletis that brought him home."
"4774","Even in areas of profound devastation, the hedrons remained intact."
"4775","""We grew up on these streets. We know them better than any Boros grunt from Zelzo."""
"4776","""Forgive me, Master Kami, but in the interest of my people I must halt your advance."""
"4777","It leaves a trail of crumpled trees and dashed dreams."
"4778","A hollow dog is never empty. It is filled with thirst for the hunt."
"4779","In a world of monsters, it's the stuff of nightmares."
"4780","After werewolves slaughtered the citizenry of Hollowhenge, other creatures moved in."
"4781","Some spirits mourn. Others terrorize."
"4782","The embodiment of yearning, forever drifting the deserts to find what had once made it whole."
"4783","Dreams of dark nights to come are said to stir in the minds of scheming hollowsages."
"4784","Though it moves like a living thing, anyone can tell it lacks a soul—not to mention mercy."
"4785","""Today there is feasting and peace across our land, but the war has not ended. Tuck away your bloodlust. You'll need it tomorrow."" —Karrim, Samite healer"
"4786","Her eyes see through the rotting flesh and glimpse a soul in agony, begging for the Blessed Sleep."
"4787","""Bathed in hallowed light, the infidels looked upon the impurities of their souls and despaired."" —The Book of Tal"
